,Farm0001,Farm0002,Farm0003,Farm0004,Farm0005,Farm0006,Farm0007,Farm0008,Farm0009,Farm0010,Farm0011,Farm0012,Farm0013,Farm0014,Farm0015,Farm0016,Farm0017,Farm0018,Farm0019,Farm0020,Farm0021,Farm0022,Farm0023,Farm0024,Farm0025,Farm0026,Farm0027,Farm0028,Farm0029,Farm0030,Farm0031,Farm0032,Farm0033,Farm0034,Farm0035,Farm0036,Farm0037,Farm0038,Farm0039,Farm0040,Farm0041,Farm0042,Farm0043,Farm0044,Farm0045,Farm0046,Farm0047,Farm0048,Farm0049,Farm0050,Farm0051,Farm0052,Farm0053,Farm0054,Farm0055,Farm0056,Farm0057,Farm0058,Farm0059,Farm0060,Farm0061,Farm0062,Farm0063,Farm0064,Farm0065,Farm0066,Farm0067,Farm0068,Farm0069,Farm0070,Farm0071,Farm0072,Farm0073,Farm0074,Farm0075,Farm0076,Farm0077,Farm0078,Farm0079,Farm0080,Farm0081,Farm0082,Farm0083,Farm0084,Farm0085,Farm0086,Farm0087,Farm0088,Farm0089,Farm0090,Farm0091,Farm0092,Farm0093,Farm0094,Farm0095,Farm0096,Farm0097,Farm0098,Farm0099,Farm0100,Farm0101,Farm0102,Farm0103,Farm0104,Farm0105,Farm0106,Farm0107,Farm0108,Farm0109,Farm0110,Farm0111,Farm0112,Farm0113,Farm0114,Farm0115,Farm0116,Farm0117,Farm0118,Farm0119,Farm0120,Farm0121,Farm0122,Farm0123,Farm0124,Farm0125,Farm0126,Farm0127,Farm0128,Farm0129,Farm0130,Farm0131,Farm0132,Farm0133,Farm0134,Farm0135,Farm0136,Farm0137,Farm0138,Farm0139,Farm0140,Farm0141,Farm0142,Farm0143,Farm0144,Farm0145,Farm0146,Farm0147,Farm0148,Farm0149,Farm0150,Farm0151,Farm0152,Farm0153,Farm0154,Farm0155,Farm0156,Farm0157,Farm0158,Farm0159,Farm0160,Farm0161,Farm0162,Farm0163,Farm0164,Farm0165,Farm0166,Farm0167,Farm0168,Farm0169,Farm0170,Farm0171,Farm0172,Farm0173,Farm0174,Farm0175,Farm0176,Farm0177,Farm0178,Farm0179,Farm0180,Farm0181,Farm0182,Farm0183,Farm0184,Farm0185,Farm0186,Farm0187,Farm0188,Farm0189,Farm0190,Farm0191,Farm0192,Farm0193,Farm0194,Farm0195,Farm0196,Farm0197,Farm0198,Farm0199,Farm0200,Farm0201,Farm0202,Farm0203,Farm0204,Farm0205,Farm0206,Farm0207,Farm0208,Farm0209,Farm0210,Farm0211,Farm0212,Farm0213,Farm0214
Farm0011,2,2,6,4,7,12,8,12,6,8,,8,13,8,5,14,10,15,8,6,8,7,10,5,14,6,6,15,14,18,13,8,15,14,15,16,16,7,16,13,8,10,8,7,7,9,15,5,7,14,16,6,6,6,19,14,16,10,8,14,9,18,12,18,16,12,13,14,8,16,18,10,16,13,7,14,16,16,16,7,15,8,16,15,17,18,9,18,8,6,10,11,12,16,10,16,12,13,21,14,12,17,15,19,8,16,12,20,14,12,14,13,15,18,20,19,18,20,15,14,17,12,20,17,22,16,18,18,10,16,12,18,14,12,14,18,15,20,22,16,18,14,15,20,16,13,17,18,20,14,16,12,24,24,142,20,15,18,22,22,14,16,12,16,20,14,20,18,18,14,18,17,20,19,16,14,15,18,20,19,13,23,22,12,21,12,15,24,22,19,14,20,15,18,18,20,16,20,21,24,18,24,28,26,32,19,12,13,28,26,21,24,24,30
Farm0012,4,3,10,6,10,14,11,12,11,10,8,,16,11,10,16,12,17,10,10,10,10,12,8,16,9,7,19,16,20,16,10,16,16,18,17,18,11,18,16,2,14,10,10,10,3,17,8,8,16,18,8,0,8,20,16,18,13,11,16,4,20,5,20,18,16,14,16,10,18,19,12,10,17,1,18,16,17,18,2,17,2,16,18,20,21,12,20,8,1,14,16,16,16,16,19,14,17,22,16,6,18,18,20,8,18,15,14,16,14,16,6,18,22,21,21,20,22,18,18,20,6,20,18,24,18,20,19,13,18,14,20,15,16,16,20,20,20,24,19,20,18,17,20,10,15,19,19,22,8,20,6,26,26,144,21,18,20,25,24,16,18,16,17,23,16,21,20,20,14,22,20,22,22,18,16,20,20,21,20,16,26,22,5,24,6,20,27,23,20,8,23,8,22,21,22,16,20,22,24,20,26,30,27,34,22,14,16,30,28,22,26,26,32
Farm0013,10,12,18,14,18,1,16,20,17,16,13,16,,19,17,2,18,5,16,16,16,18,18,16,3,18,12,5,2,8,2,17,3,2,5,5,7,16,4,4,16,21,14,14,16,18,3,12,14,4,5,16,14,12,8,4,3,20,20,2,18,6,20,6,4,24,2,4,15,5,6,18,25,23,17,2,4,3,3,17,24,18,4,4,7,8,20,7,14,14,20,22,22,4,22,6,20,24,10,4,21,6,5,8,14,6,20,29,22,21,24,22,4,8,10,8,7,10,4,26,8,20,9,6,30,6,8,8,20,24,21,28,20,22,21,9,26,8,12,6,26,24,24,28,26,20,6,6,8,24,24,20,13,14,131,8,25,7,12,11,23,26,20,24,10,23,8,7,6,22,8,9,8,9,22,22,26,8,8,28,20,12,10,20,30,22,28,14,10,8,24,30,24,26,8,10,24,8,8,14,29,34,19,14,22,12,21,24,17,16,9,32,32,19
Farm0014,8,8,13,10,3,17,12,12,14,2,8,11,19,,14,18,15,20,2,12,14,2,14,10,19,11,10,20,18,22,20,13,18,18,20,22,23,1,20,19,13,17,12,13,3,15,20,11,10,19,22,10,11,12,24,19,22,16,15,20,14,24,15,22,22,20,19,20,14,22,23,15,19,19,14,20,20,20,20,14,8,14,20,20,24,24,16,22,12,10,16,4,20,18,18,22,17,20,26,20,18,22,20,22,12,21,18,24,18,16,20,16,20,22,24,24,23,26,20,22,24,18,25,22,14,22,23,23,16,22,16,22,18,19,18,24,22,24,26,22,10,20,7,12,22,18,20,22,24,20,22,18,28,28,147,24,21,23,28,27,19,22,18,8,26,20,25,24,22,18,24,21,24,24,21,6,22,24,23,12,18,28,26,17,16,16,24,30,26,23,19,12,20,23,23,25,20,24,26,28,24,17,34,30,36,26,17,19,34,32,25,18,16,34
Farm0015,6,6,10,6,12,16,12,15,10,12,5,10,17,14,,17,14,20,12,12,12,12,14,7,18,10,8,20,18,22,18,9,18,18,20,20,20,12,20,18,12,4,12,10,12,14,18,9,10,18,20,10,10,11,24,18,19,14,2,18,13,22,14,22,20,7,18,18,12,20,21,14,20,5,12,18,18,20,20,12,19,13,18,20,22,22,3,22,12,10,15,16,16,20,15,20,18,6,26,18,16,20,20,22,10,19,18,25,18,16,20,16,18,23,23,24,22,25,20,20,22,16,24,21,25,21,23,22,16,20,16,24,17,5,18,24,9,22,26,21,21,20,19,24,20,18,22,20,24,18,20,16,28,28,146,22,8,22,27,25,20,20,18,19,26,18,23,23,21,17,22,21,23,22,20,18,9,21,24,22,18,28,26,16,25,15,10,29,26,21,18,24,19,21,22,24,19,22,24,28,10,28,33,28,36,26,16,20,32,30,25,28,28,34
Farm0016,10,11,18,14,17,1,16,20,18,18,14,16,2,18,17,,20,4,18,16,17,18,18,15,1,17,13,6,1,6,2,16,1,3,2,4,5,16,4,1,18,21,14,15,16,18,2,12,12,1,3,14,16,14,8,1,4,20,19,3,19,8,20,7,4,24,0,2,14,2,4,18,24,24,16,4,2,4,5,16,24,18,2,3,4,6,20,4,14,14,20,22,23,3,22,4,20,25,8,2,22,4,2,4,14,3,20,28,22,22,24,21,4,6,6,6,5,8,2,26,4,20,6,4,30,4,6,6,20,24,19,28,20,22,20,6,26,4,9,4,26,24,24,28,26,18,4,4,6,24,25,20,12,10,130,6,26,6,10,10,23,26,20,24,8,23,7,6,5,22,4,6,8,6,23,22,26,8,5,28,20,10,8,20,31,21,26,12,8,7,23,30,23,28,6,6,24,6,6,10,26,32,16,12,19,10,21,24,15,14,7,30,33,17
Farm0017,9,8,14,12,16,18,14,17,14,14,10,12,18,15,14,20,,21,14,13,14,14,16,13,20,13,10,22,21,24,21,14,20,19,21,22,22,14,22,20,14,18,15,12,14,15,20,10,12,20,22,12,11,12,25,20,22,17,17,22,16,24,18,24,22,21,19,19,14,22,24,16,22,22,14,21,21,22,22,14,20,16,22,21,24,26,16,24,12,12,17,18,20,20,19,24,18,22,27,20,18,24,20,23,12,22,18,26,20,18,22,18,22,25,25,24,24,26,22,22,24,18,27,24,26,24,24,24,18,20,18,25,20,19,19,24,24,24,27,24,24,21,22,24,22,20,24,24,26,20,24,17,30,30,149,24,22,25,29,28,20,24,20,21,26,20,25,24,25,18,24,24,26,25,22,20,24,25,24,26,19,29,26,18,28,18,24,30,28,24,19,28,22,24,24,26,22,25,25,30,26,32,36,31,36,26,19,21,34,32,26,30,29,36
Farm0018,12,12,18,16,19,2,18,22,20,18,15,17,5,20,20,4,21,,19,19,18,19,22,16,6,18,14,0,5,3,5,19,5,5,7,0,2,20,7,5,18,24,18,16,18,18,4,13,14,5,8,18,17,14,4,5,8,22,20,6,20,8,22,2,8,26,4,6,18,6,8,19,24,26,19,6,6,6,8,20,26,20,6,8,10,10,22,9,16,18,22,23,24,7,25,8,22,26,12,6,20,8,6,9,16,7,22,29,22,23,26,24,6,8,10,10,8,12,7,28,8,22,12,9,32,8,9,10,24,27,24,31,22,22,22,10,29,10,12,8,28,25,26,30,27,23,8,8,10,22,27,22,16,16,132,10,26,10,13,12,25,28,23,26,12,26,10,8,8,24,9,10,12,10,25,25,28,8,10,30,22,14,12,22,33,21,29,16,12,11,23,30,24,30,10,11,26,10,10,14,30,35,20,16,24,12,23,24,20,18,12,34,34,20
Farm0019,6,6,12,8,0,16,12,10,12,2,8,10,16,2,12,18,14,19,,11,12,2,14,10,18,11,9,21,18,22,18,12,18,18,18,20,21,2,20,18,12,16,12,10,0,13,18,10,10,19,19,10,9,11,22,18,19,14,14,20,12,22,14,22,20,18,16,18,12,20,20,14,19,18,13,18,18,18,20,12,10,14,20,20,22,23,16,22,12,10,16,6,19,18,18,20,17,19,24,20,16,22,19,21,10,20,16,23,19,16,18,16,20,22,22,22,22,24,18,21,22,17,24,20,14,20,24,22,15,20,16,22,16,17,16,23,22,21,26,21,11,19,9,12,22,18,20,20,24,19,20,18,28,28,147,24,20,22,27,26,18,22,18,9,24,19,24,22,22,16,22,20,24,22,19,9,20,22,22,12,16,28,24,16,17,16,21,30,25,22,18,14,19,22,23,24,20,23,24,28,23,18,32,30,36,24,16,18,32,31,24,17,18,34
Farm0020,4,6,11,7,10,15,12,15,10,10,6,10,16,12,12,16,13,19,11,,10,10,12,10,18,10,7,18,18,20,18,11,17,18,18,18,18,12,19,18,10,16,11,10,10,12,18,8,9,18,20,7,8,8,22,17,18,5,14,18,12,22,14,21,20,17,16,18,10,20,20,13,18,16,11,19,18,18,20,12,18,14,18,18,21,22,14,20,10,8,5,15,17,18,15,20,16,18,24,18,14,19,18,21,10,19,16,23,17,6,9,16,16,21,22,22,20,25,18,21,21,16,22,22,25,20,20,20,6,10,6,12,15,16,16,22,20,22,26,20,20,10,18,22,20,16,20,20,23,18,20,15,28,27,147,22,20,20,26,25,7,12,17,19,25,8,20,22,22,7,22,20,22,22,19,16,19,21,22,22,16,26,24,16,25,15,20,27,24,22,17,24,18,12,22,24,18,22,22,26,22,26,32,28,34,22,16,17,31,29,24,26,26,32
Farm0021,6,4,13,8,12,16,10,14,12,12,8,10,16,14,12,17,14,18,12,10,,12,14,10,18,12,9,20,18,21,18,12,18,18,19,20,21,12,19,19,11,16,10,11,11,14,20,9,10,18,21,10,10,10,23,18,20,15,14,19,12,22,15,22,20,19,16,18,12,21,22,14,18,17,12,18,19,19,20,13,20,12,19,20,21,24,14,22,11,11,14,16,18,20,18,20,16,19,24,19,17,20,20,22,11,20,17,24,16,16,20,16,18,22,23,24,22,24,18,21,22,16,24,22,26,22,22,22,14,20,16,22,18,16,17,23,22,21,26,22,21,20,18,22,21,18,22,20,24,18,21,15,28,28,148,23,20,22,27,25,18,20,18,18,24,18,24,22,22,17,22,21,24,23,20,19,20,22,24,23,16,28,26,16,26,16,22,28,26,22,18,23,20,23,22,24,19,22,24,27,23,28,33,29,36,22,18,18,33,30,25,28,26,34
Farm0022,6,5,12,8,2,16,10,10,11,2,7,10,18,2,12,18,14,19,2,10,12,,14,10,18,10,8,20,18,22,18,12,18,18,18,20,22,2,21,18,12,16,11,10,2,14,20,9,10,18,20,10,9,10,23,17,20,14,13,19,13,23,16,22,20,19,18,18,12,20,22,15,18,18,12,20,18,19,20,12,10,14,18,19,22,24,16,22,12,11,15,6,18,20,17,21,18,20,26,18,16,22,18,22,12,22,17,24,18,16,20,16,18,24,22,23,22,26,19,21,22,16,22,20,16,22,22,21,15,20,16,22,16,17,16,22,20,21,25,20,11,18,8,12,22,17,22,21,24,18,20,16,28,28,146,23,20,23,27,26,18,21,18,9,25,18,22,22,22,16,24,22,24,24,21,7,20,22,22,12,16,27,26,16,16,16,22,28,26,22,18,13,18,22,23,24,20,22,24,27,22,18,34,30,36,24,16,18,32,30,24,18,16,33
Farm0023,8,7,14,11,14,18,14,17,14,14,10,12,18,14,14,18,16,22,14,12,14,14,,12,21,12,11,22,19,24,21,14,20,20,21,22,23,14,22,20,13,18,15,13,14,15,20,10,12,21,22,12,12,12,25,20,22,17,16,21,14,24,16,23,22,22,19,21,14,22,24,16,21,20,14,22,22,20,22,14,22,15,21,22,24,24,17,22,12,12,16,18,19,20,20,24,19,20,28,21,18,24,22,24,12,22,18,24,22,18,21,18,20,24,26,25,25,26,21,24,25,17,26,22,26,22,24,24,16,22,18,26,19,18,18,24,22,24,29,24,23,20,21,26,24,18,23,24,26,18,22,18,29,30,149,24,21,24,28,28,21,24,20,20,27,20,24,24,24,19,24,22,26,24,22,20,22,24,25,26,19,29,28,18,28,18,24,32,27,24,21,26,20,24,25,26,22,25,27,29,24,30,34,32,38,25,18,20,34,32,26,31,29,36
Farm0024,4,4,8,1,10,14,11,12,9,10,5,8,16,10,7,15,13,16,10,10,10,10,12,,16,1,8,18,16,20,16,10,17,17,17,17,20,10,17,16,10,12,9,8,10,11,18,7,8,16,18,7,8,8,21,16,19,13,10,17,10,21,12,20,18,16,14,16,10,18,19,12,17,16,10,18,17,17,18,10,17,11,16,18,20,22,10,20,9,8,12,14,12,17,12,19,14,16,22,17,14,18,16,18,8,18,16,20,16,14,18,14,18,20,22,20,20,22,17,14,20,14,21,19,24,18,20,20,13,18,14,20,14,12,15,20,16,20,24,20,19,18,18,21,18,15,18,20,22,16,20,14,26,26,146,20,16,19,24,24,17,19,16,18,22,16,21,22,20,15,20,20,22,21,18,16,16,19,21,21,16,25,23,14,25,14,18,27,23,19,16,22,18,20,20,22,16,22,22,24,20,26,32,28,34,22,14,16,30,28,22,26,25,32
Farm0025,12,12,19,14,18,0,17,22,17,18,14,16,3,19,18,1,20,6,18,18,18,18,21,16,,16,14,6,2,8,1,18,2,4,4,6,8,18,5,2,19,22,16,14,18,20,3,14,14,2,4,16,16,13,8,2,6,21,20,6,20,8,21,8,6,25,0,4,16,4,4,18,26,24,18,6,3,6,6,18,24,20,4,3,7,6,22,6,15,16,22,22,23,2,24,4,20,26,8,3,22,4,2,6,16,4,21,30,22,22,26,22,5,7,7,8,6,10,4,26,6,22,8,4,32,6,6,6,20,26,19,28,22,23,21,7,26,6,10,4,27,26,24,30,27,20,4,6,8,24,24,22,12,13,132,7,26,5,11,10,23,27,22,25,8,22,8,6,6,24,6,8,9,8,24,24,28,8,7,30,22,12,8,22,32,22,27,12,9,8,26,29,25,28,7,8,25,8,9,11,30,35,17,13,20,10,22,22,16,13,7,32,34,18
Farm0026,5,5,10,2,12,16,10,14,9,11,6,9,18,11,10,17,13,18,11,10,12,10,12,1,16,,8,20,16,22,18,10,16,16,18,20,19,11,18,17,12,12,11,9,10,11,18,8,8,18,19,10,8,9,22,18,19,14,10,18,12,22,14,22,20,16,16,18,11,18,20,13,18,16,12,18,17,18,20,12,18,12,18,20,21,22,12,22,10,8,14,15,14,18,14,20,15,16,24,18,15,20,18,20,10,18,16,24,17,16,18,15,17,22,22,22,22,24,18,16,21,14,22,20,24,20,22,22,15,18,16,22,16,14,16,22,19,20,24,19,21,16,18,22,20,16,20,21,24,16,20,14,26,27,146,22,17,20,26,25,18,20,16,18,23,18,22,22,21,15,22,20,22,23,18,16,18,21,22,22,16,26,24,14,26,14,18,28,24,21,17,24,18,20,22,23,18,22,24,26,20,27,32,28,35,22,15,17,31,29,24,28,26,32
