codice;estinzione
Farm0817;06/12/2021
Farm0828;28/12/2021
Farm0831;07/12/2021
Farm0832;20/11/2021
Farm0833;24/11/2021
Farm0834;23/11/2021
Farm0857;27/12/2021
Farm0858;17/12/2021
Farm0864;06/01/2022
Farm0872;31/10/2021
Farm0874;29/10/2021
Farm0876;19/11/2021
Farm0877;22/10/2021
Farm0881;23/12/2021
Farm0885;14/11/2021
Farm0886;17/12/2021
Farm0888;26/10/2021
Farm0898;05/11/2021
Farm0901;04/12/2021
Farm0924;17/12/2021
Farm0925;16/11/2021
Farm0926;03/12/2021
Farm0929;30/11/2021
Farm0930;21/12/2021
Farm0935;29/11/2021
Farm0939;25/11/2021
Farm0951;03/01/2022
Farm0952;21/12/2021
Farm0954;18/12/2021
Farm0957;08/12/2021
Farm0972;09/11/2021
Farm0975;18/11/2021
Farm0978;14/11/2021
Farm0979;23/11/2021
Farm0980;16/11/2021
Farm0981;17/11/2021
Farm0999;17/11/2021
Farm1000;09/11/2021
Farm1001;06/11/2021
Farm1002;12/12/2021
Farm1003;08/11/2021
Farm1009;29/11/2021
Farm1014;13/11/2021
Farm1015;01/11/2021
Farm1018;17/12/2021
Farm1019;20/12/2021
Farm1020;27/12/2021
Farm1043;16/12/2021
Farm1044;06/12/2021
Farm1047;27/12/2021
Farm1048;17/12/2021
Farm1049;10/12/2021
Farm1052;11/12/2021
Farm1061;10/12/2021
Farm1073;19/12/2021
Farm1076;06/12/2021
Farm1077;01/12/2021
Farm1078;24/11/2021
Farm1084;25/11/2021
Farm1085;14/11/2021
Farm1087;20/11/2021
Farm1088;18/11/2021
Farm1089;12/12/2021
Farm1090;11/11/2021
Farm1091;23/11/2021
Farm1092;09/12/2021
Farm1093;27/11/2021
Farm1100;02/12/2021
Farm1101;11/12/2021
Farm1102;14/12/2021
Farm1113;20/12/2021
Farm1121;17/11/2021
Farm1122;18/11/2021
Farm1123;11/11/2021
Farm1124;15/11/2021
Farm1127;17/11/2021
Farm1129;30/11/2021
Farm1155;01/01/2022
Farm1177;13/12/2021
Farm1184;26/11/2021
Farm1185;14/12/2021
Farm1186;12/12/2021
Farm1226;25/11/2021
Farm1241;18/11/2021
Farm1242;18/11/2021
Farm1244;19/11/2021
Farm1245;23/11/2021
Farm1247;20/11/2021
Farm1255;27/11/2021
Farm1268;02/01/2022
Farm1271;03/01/2022
Farm1272;26/12/2021
Farm1273;12/12/2021
Farm1275;17/12/2021
Farm1279;26/12/2021
Farm1281;06/01/2022
Farm1328;23/12/2021
Farm1373;22/12/2021
Farm1378;12/12/2021
Farm1383;26/11/2021
Farm1389;03/12/2021
Farm1394;20/12/2021
Farm1400;10/12/2021
Farm1407;24/12/2021
Farm1409;20/12/2021
Farm1442;10/12/2021
Farm1443;28/11/2021
Farm1444;19/12/2021
Farm1447;05/12/2021
Farm1455;01/12/2021
Farm1472;02/01/2022
Farm1488;13/11/2021
Farm1491;15/12/2021
Farm1494;16/11/2021
Farm1495;17/11/2021
Farm1496;17/11/2021
Farm1498;18/11/2021
Farm1499;01/12/2021
Farm1501;09/11/2021
Farm1502;28/11/2021
Farm1503;21/11/2021
Farm1504;19/11/2021
Farm1505;30/11/2021
Farm1506;28/11/2021
Farm1507;18/11/2021
Farm1510;22/12/2021
Farm1518;31/12/2021
Farm1522;29/12/2021
Farm1524;27/12/2021
Farm1528;15/12/2021
Farm1536;22/12/2021
Farm1541;10/12/2021
Farm1556;27/11/2021
Farm1563;12/12/2021
Farm1564;05/12/2021
Farm1595;22/12/2021
Farm1596;17/12/2021
Farm1598;31/12/2021
Farm1600;06/12/2021
Farm1601;15/12/2021
Farm1602;20/12/2021
Farm1608;05/01/2022
Farm1611;14/12/2021
Farm1613;18/12/2021
Farm1615;03/12/2021
Farm1617;06/12/2021
Farm1618;11/12/2021
Farm1623;16/01/2022
Farm1628;06/12/2021
Farm1630;11/12/2021
Farm1631;10/12/2021
Farm1632;11/12/2021
Farm1636;10/12/2021
Farm1643;21/11/2021
